,user_id,item_id,rate,tconst,movie_node_id,user_node_id
0,196,242,3,tt0116790,1490,0
1,63,242,3,tt0116790,1490,1
2,226,242,5,tt0116790,1490,2
3,154,242,3,tt0116790,1490,3
4,306,242,5,tt0116790,1490,4
5,296,242,4,tt0116790,1490,5
6,34,242,5,tt0116790,1490,6
7,271,242,4,tt0116790,1490,7
8,201,242,4,tt0116790,1490,8
9,209,242,4,tt0116790,1490,9
10,35,242,2,tt0116790,1490,10
11,354,242,5,tt0116790,1490,11
12,199,242,5,tt0116790,1490,12
13,113,242,2,tt0116790,1490,13
14,1,242,5,tt0116790,1490,14
15,173,242,5,tt0116790,1490,15
16,360,242,4,tt0116790,1490,16
17,234,242,4,tt0116790,1490,17
18,14,242,4,tt0116790,1490,18
19,309,242,4,tt0116790,1490,19
20,331,242,4,tt0116790,1490,20
21,21,242,3,tt0116790,1490,21
22,111,242,4,tt0116790,1490,22
23,439,242,5,tt0116790,1490,23
24,355,242,4,tt0116790,1490,24
25,204,242,5,tt0116790,1490,25
26,145,242,5,tt0116790,1490,26
27,30,242,5,tt0116790,1490,27
28,463,242,2,tt0116790,1490,28
29,144,242,4,tt0116790,1490,29
30,417,242,3,tt0116790,1490,30
31,2,242,5,tt0116790,1490,31
32,497,242,1,tt0116790,1490,32
33,523,242,5,tt0116790,1490,33
34,12,242,5,tt0116790,1490,34
35,202,242,3,tt0116790,1490,35
36,131,242,5,tt0116790,1490,36
37,451,242,1,tt0116790,1490,37
38,532,242,4,tt0116790,1490,38
39,539,242,5,tt0116790,1490,39
40,537,242,3,tt0116790,1490,40
41,416,242,4,tt0116790,1490,41
42,566,242,5,tt0116790,1490,42
43,597,242,4,tt0116790,1490,43
44,181,242,1,tt0116790,1490,44
45,639,242,4,tt0116790,1490,45
46,123,242,5,tt0116790,1490,46
47,520,242,5,tt0116790,1490,47
48,617,242,3,tt0116790,1490,48
49,86,242,4,tt0116790,1490,49
50,624,242,4,tt0116790,1490,50
51,9,242,4,tt0116790,1490,51
52,651,242,5,tt0116790,1490,52
53,492,242,5,tt0116790,1490,53
54,207,242,4,tt0116790,1490,54
55,460,242,4,tt0116790,1490,55
56,697,242,5,tt0116790,1490,56
57,129,242,4,tt0116790,1490,57
58,40,242,4,tt0116790,1490,58
59,740,242,4,tt0116790,1490,59
60,239,242,5,tt0116790,1490,60
61,794,242,5,tt0116790,1490,61
62,461,242,3,tt0116790,1490,62
63,771,242,4,tt0116790,1490,63
64,733,242,4,tt0116790,1490,64
65,568,242,4,tt0116790,1490,65
66,673,242,4,tt0116790,1490,66
67,249,242,5,tt0116790,1490,67
68,6,242,4,tt0116790,1490,68
69,205,242,4,tt0116790,1490,69
70,592,242,5,tt0116790,1490,70
71,440,242,5,tt0116790,1490,71
72,641,242,5,tt0116790,1490,72
73,765,242,5,tt0116790,1490,73
74,139,242,3,tt0116790,1490,74
75,628,242,5,tt0116790,1490,75
76,473,242,3,tt0116790,1490,76
77,695,242,5,tt0116790,1490,77
78,206,242,3,tt0116790,1490,78
79,863,242,4,tt0116790,1490,79
80,90,242,4,tt0116790,1490,80
81,594,242,4,tt0116790,1490,81
82,866,242,3,tt0116790,1490,82
83,803,242,5,tt0116790,1490,83
84,240,242,5,tt0116790,1490,84
85,753,242,4,tt0116790,1490,85
86,735,242,5,tt0116790,1490,86
87,869,242,2,tt0116790,1490,87
88,655,242,4,tt0116790,1490,88
89,18,242,5,tt0116790,1490,89
90,898,242,4,tt0116790,1490,90
91,937,242,3,tt0116790,1490,91
92,767,242,4,tt0116790,1490,92
93,533,242,4,tt0116790,1490,93
94,680,242,4,tt0116790,1490,94
95,485,242,5,tt0116790,1490,95
96,574,242,5,tt0116790,1490,96
97,758,242,3,tt0116790,1490,97
98,486,242,4,tt0116790,1490,98
99,13,242,2,tt0116790,1490,99
100,724,242,1,tt0116790,1490,100
101,270,242,5,tt0116790,1490,101
102,428,242,4,tt0116790,1490,102
103,861,242,5,tt0116790,1490,103
104,871,242,3,tt0116790,1490,104
105,408,242,4,tt0116790,1490,105
106,195,242,4,tt0116790,1490,106
107,279,242,3,tt0116790,1490,107
108,743,242,4,tt0116790,1490,108
